"RelPath","Ext","SizeMB","Decision","Reason"
".gitattributes","gitattributes","0","include","text/code or small asset"
".gitignore","gitignore","0","include","text/code or small asset"
"CHECHA_CORE_DayStart_Starter_v1.0.zip","zip","0","exclude","blocked extension"
"CHECHA_CORE_FIX_G23_LEGAL.zip","zip","0","exclude","blocked extension"
"README.md","md","0","include","text/code or small asset"
"Run-DayStart.cmd","cmd","0","include","text/code or small asset"
"Set-Service ssh-agent -StartupType Automatic","","0","include","text/code or small asset"
"Set-Service ssh-agent -StartupType Automatic.pub","pub","0","include","text/code or small asset"
"tasks_backup_20250814_140628.zip","zip","0","exclude","blocked extension"
".mc/config.json","json","0","include","text/code or small asset"
".mc/config.json.old","old","0","include","text/code or small asset"
".mc/share/downloads.json","json","0,02","include","text/code or small asset"
".mc/share/downloads.json.old","old","0,02","include","text/code or small asset"
".mc/share/uploads.json","json","0","include","text/code or small asset"
"C02/OPERATOR.md","md","0","include","text/code or small asset"
"C03/ALERTS.md","md","0","include","text/code or small asset"
"C03/ALERTS_20250813.md","md","0","include","text/code or small asset"
"C03/ALERTS_20250814.md","md","0","include","text/code or small asset"
"C03/BACKUP.log","log","0","include","text/code or small asset"
"C03/CHEATSHEET.md","md","0,01","include","text/code or small asset"
"C03/INDEX.md","md","0","include","text/code or small asset"
"C03/LOG.md","md","0","include","text/code or small asset"
"C03/LOG_TEMPLATE.md","md","0","include","text/code or small asset"
"C03/NIGHT_CHAIN_%LOGDATE%.log","log","0","include","text/code or small asset"
"C03/NIGHT_CHAIN_20250813.log","log","0","include","text/code or small asset"
"C03/NIGHT_CHAIN_20250814.log","log","0","include","text/code or small asset"
"C03/NIGHT_CHAIN_20250816.log","log","0","include","text/code or small asset"
"C03/NIGHT_CHAIN_20250818.log","log","0","include","text/code or small asset"
"C03/NIGHT_CHAIN_20250819.log","log","0","include","text/code or small asset"
"C03/NIGHT_CHAIN_20250821.log","log","0","include","text/code or small asset"
"C03/NIGHT_CHAIN_20250824.log","log","0","include","text/code or small asset"
"C03/REPORT.log","log","0","include","text/code or small asset"
"C03/WARN_20250813.log","log","0","include","text/code or small asset"
"C03/WARN_20250814.log","log","0","include","text/code or small asset"
"C05/ARCHIVE.md","md","0","exclude","Archive dir"
"C06/FOCUS.md","md","0","include","text/code or small asset"
"C06_dev/CHECKLIST_PREP.md","md","0","include","text/code or small asset"
"C06_dev/CHECKLIST_PREP.md.20250813_234736.bak","bak","0","include","text/code or small asset"
"C06_dev/FOCUS_AUTO.md","md","0","include","text/code or small asset"
"C07/C07_BASE_DASHBOARD.md","md","0","include","text/code or small asset"
"C07/health-summary.md","md","0","include","text/code or small asset"
"C07/KPI_TRACKER.md","md","0,01","include","text/code or small asset"
"C07/KPI_TRACKER.utf8.md","md","0","include","text/code or small asset"
"C07/minio_weekly_move.ps1","ps1","0","include","text/code or small asset"
"C07/README.md","md","0","include","text/code or small asset"
"C07/REPORT.md","md","0","include","text/code or small asset"
"C07/REPORT.md.20250814_103615.bak","bak","0","include","text/code or small asset"
"C07/REPORT_GUIDE.md","md","0","include","text/code or small asset"
"C07/WEEKLY.md","md","0","include","text/code or small asset"
"C07/reports/weekly/weekly_report_2025-W34.md","md","0","include","text/code or small asset"
"C07/_links/latest.txt","txt","0","include","text/code or small asset"
"C07_dev/REPORT_AUTO.md","md","0","include","text/code or small asset"
"C09/KPI.md","md","0","include","text/code or small asset"
"C11/audit_zip_sha.ps1","ps1","0","include","text/code or small asset"
"C11/healthcheck.ps1","ps1","0","include","text/code or small asset"
"C11/import_tasks.ps1","ps1","0","include","text/code or small asset"
"C11/log_rotate.ps1","ps1","0","include","text/code or small asset"
"C11/log_rotate.ps1.bak","bak","0","include","text/code or small asset"
"C11/push_repo.ps1","ps1","0","include","text/code or small asset"
"C11/retention.ps1","ps1","0","include","text/code or small asset"
"C11/run_all_now.ps1","ps1","0","include","text/code or small asset"
"C11/run_daily.cmd","cmd","0","include","text/code or small asset"
